Victims,Date,Type of attack,Location,Notes
"Martino Raineri, male ","January 17, 2022 ",Unprovoked,"Between Malga Seconda Posta and Forte Cherle, Folgaria, Italy ","Seven wolves killed a man's dog, who was skiing at 4:00 pm. He tried to hide from the wolves who were eyeing him and called emergency help which arrived 30 minutes later. Only then did the wolves give up and leave. "
"Stanley Russ, 72, male ","May 29, 2020 ",Unprovoked,"Port Edward, British Columbia, Canada ",A wolf attacked a man and bit his legs and arm. 
Vlastimil Vejrosta and his wife ,"April 30, 2020 ",Predatory,"Božanov, Czech Republic ",Three wolves attempted to surround a couple near their home. Even throwing firecrackers didn't force them to run away. The couple escaped by running into their house. 
"Timur Makhametov, 23, male ","December 30, 2019 ",Predatory,"Ketpen Village, Uighur District, Almaty Region, Kazakhstan ",A wolf attacked a young man who was getting water at night. He sustained severe wounds in the head and feet. 
"Unknown, adult, male ","December 12, 2019 ",Rabid,"Tariat District, Arkhangai Province, Mongolia ",A wolf bit a shepherd's hand outside his home. 
"Vladislav Lomako, 56, male ","December 8, 2019 ",Rabid,"Khotovo Village, Stowbtsy City, Stowbtsy District, Minsk Region, Belarus ",A wolf seriously injured a man at a bus stop near a forest. 
"Zinaida Kozlovskaya, adult, female ","November 22, 2019 ",Rabid,"Syanno, Senno District, Vitebsk Region,  Belarus ",A wolf bit a woman in the evening. 
"Petr Grishchenko and Sergei Budnik, adult males ","October 24, 2019 ",Unknown,"Ruchaevka Village, Loevsky District, Gomel Region, Belarus ","A wolf attacked a man on his porch, then later attacked another villager. "
"Four adults, three males and a female ","October 7, 2019 ",Unknown,"Kayasula Village, Neftekumsky District, Stavropol Territory, Russia ","A series of attacks over two days, in which four villagers were injured by three wolves. "
"Three adult residents, two males and a female ","September 14, 2019 ",Rabid,"Perevalnoye and Privolnoye Villages, Simferopol District, Ukraine ","A wolf attacked a dog and its owner in a private courtyard, then later bit two men at a forest stream. "
"Matthew Rispoli, adult, male ","August 9, 2019 ",Predatory,"Rampart Creek Campground, Banff National Park, Alberta, Canada ",An emaciated wolf bit a man while attempting to drag him from his tent. 
"Sonya Chernigova, 14, female ","August 4, 2019 ",Predatory,"Yodva Village, Udorsky District, Komi Republic, Russia ",An old wolf fatally mauled a girl in the evening. 
"Kaje Napira, adult, female ","July 24, 2019 ",Unprovoked,"Tahko Village, Hiiumaa, West Estonian Archipelago, Estonia ",A wolf followed a woman's dog into her residence and bit her. 
Fifteen people ,"June 28, 2019 ",Unknown,"Kupwara District, Jammu and Kashmir, India. ","Over a week, at least four wolves attacked and injured at least 15 persons. "
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male ","June 28, 2019 ",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan ","Following a series of attacks on animals, a wolf injured four villagers. "
"Arlind Suma, 5, male ","June 25, 2019 ",Predatory,"Dimcë Village, Han i Elezit Municipality, Ferizaj District, Republic of Kosovo ",A wolf severely injured a boy while attempting to drag him away. 
